Date,Symbol,Company Name,Split Ratio
01/21/2025,BQ,Boqii Holding Ltd.,1 : 10
01/17/2025,OUT,Outfront Media Inc,1 : 1.02
01/16/2025,MBIO,Mustang Bio Inc,1 : 50
01/16/2025,KLRS,Kalaris Therapeutics Inc,1 : 23
01/15/2025,SVUHF,Srivaru Holding Ltd.,1 : 50
01/14/2025,EVAX,Evaxion A,1 : 5
01/13/2025,THCH,Th International Ltd.,1 : 5
01/10/2025,XTIA,Xti Aerospace Inc,1 : 250
01/08/2025,JXG,Jx Luxventure Group Inc,1 : 4
01/06/2025,SSM,Sono Group Nv,1 : 75.02
01/06/2025,RGFC,Real Good Food Company Inc,1 : 12
01/06/2025,IDAI,T Stamp Inc,1 : 15
01/03/2025,ALUR,Allurion Technologies Inc,1 : 25
01/02/2025,ELBM,Electra Battery Materials Corp,1 : 4
01/02/2025,ATCH,Atlasclear Holdings Inc,1 : 59.99
12/31/2024,COEP,Coeptis Therapeutics Holdings Inc,1 : 20
12/31/2024,OPTN,Optinose Inc,1 : 15
12/30/2024,DFDV,Defi Development Corp,1 : 8
12/24/2024,GOEVQ,Canoo Inc,1 : 20
12/24/2024,NEUP,Neuphoria Therapeutics Inc,1 : 12
12/23/2024,ICCT,Icoreconnect Inc,1 : 20
12/18/2024,MTC,Mmtec Inc,1 : 8
12/13/2024,DBGI,Digital Brands Group Inc,1 : 50
12/13/2024,MNTS,Momentus Inc,1 : 14
12/13/2024,BLUE,Bluebird Bio Inc,1 : 20
12/10/2024,JL,J-long Group Ltd.,1 : 10
12/09/2024,HUIZ,Huize Holding Ltd.,1 : 5
12/06/2024,ENSC,Ensysce Biosciences Inc,1 : 15
12/03/2024,MYNZ,Mainz Biomed Nv,1 : 40
12/02/2024,FTCI,Ftc Solar Inc,1 : 10
11/29/2024,DBVT,Dbv Technologies SA,1 : 5
11/27/2024,UBXG,U-bx Technology Ltd.,1 : 16
11/26/2024,CTXR,Citius Pharmaceuticals Inc,1 : 25
11/26/2024,GMM,Global Mofy Ai Ltd.,1 : 15
11/25/2024,APLM,Apollomics Inc,1 : 100
11/25/2024,GPUS,Hyperscale Data Inc,1 : 35
11/22/2024,XTKG,X3 Holdings Co Ltd.,1 : 20
11/22/2024,DFLI,Dragonfly Energy Holdings Corp,1 : 9
11/21/2024,LAZR,Luminar Technologies Inc,1 : 15
11/21/2024,PRFX,Painreform Ltd.,1 : 4
11/21/2024,NMHI,Nature's Miracle Holding Inc,1 : 30
